GEOID,ORDER,ESTIMATE,Var_Rep1,Var_Rep2,Var_Rep3,Var_Rep4,Var_Rep5,Var_Rep6,Var_Rep7,Var_Rep8,Var_Rep9,Var_Rep10,Var_Rep11,Var_Rep12,Var_Rep13,Var_Rep14,Var_Rep15,Var_Rep16,Var_Rep17,Var_Rep18,Var_Rep19,Var_Rep20,Var_Rep21,Var_Rep22,Var_Rep23,Var_Rep24,Var_Rep25,Var_Rep26,Var_Rep27,Var_Rep28,Var_Rep29,Var_Rep30,Var_Rep31,Var_Rep32,Var_Rep33,Var_Rep34,Var_Rep35,Var_Rep36,Var_Rep37,Var_Rep38,Var_Rep39,Var_Rep40,Var_Rep41,Var_Rep42,Var_Rep43,Var_Rep44,Var_Rep45,Var_Rep46,Var_Rep47,Var_Rep48,Var_Rep49,Var_Rep50,Var_Rep51,Var_Rep52,Var_Rep53,Var_Rep54,Var_Rep55,Var_Rep56,Var_Rep57,Var_Rep58,Var_Rep59,Var_Rep60,Var_Rep61,Var_Rep62,Var_Rep63,Var_Rep64,Var_Rep65,Var_Rep66,Var_Rep67,Var_Rep68,Var_Rep69,Var_Rep70,Var_Rep71,Var_Rep72,Var_Rep73,Var_Rep74,Var_Rep75,Var_Rep76,Var_Rep77,Var_Rep78,Var_Rep79,Var_Rep80
1500000US340076105001,1,147,109,135,186,147,107,83,138,142,88,169,105,118,107,126,197,100,108,88,104,173,141,157,185,148,204,188,139,225,134,185,172,165,183,157,179,191,148,228,185,151,82,125,163,162,143,132,84,162,107,126,95,111,104,114,163,179,105,120,134,234,94,144,182,183,145,181,152,178,153,220,133,178,166,118,212,188,195,107,195,112
1500000US340076105001,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1500000US340076115003,1,78,99,79,106,75,81,50,69,58,75,63,82,77,99,79,82,96,55,61,103,100,72,100,79,61,102,71,97,76,61,88,71,94,76,65,68,73,78,77,60,65,71,77,74,75,78,99,85,97,77,101,65,70,56,82,81,60,99,97,77,51,78,65,81,100,65,81,71,70,102,81,94,52,65,98,99,76,83,85,85,86
1500000US340076115003,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1500000US340139801001,1,4,4,4,5,4,4,4,4,4,4,5,4,5,5,5,5,5,4,4,5,5,4,3,5,3,5,5,3,4,4,4,4,4,4,4,4,5,4,3,4,3,5,4,3,4,4,4,4,5,4,3,4,4,5,4,4,4,4,5,4,4,4,4,4,5,4,5,5,4,5,5,4,4,4,5,4,4,4,5,4,5
1500000US340139801001,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1500000US340155002043,1,54,40,48,21,102,53,43,61,22,87,58,58,20,43,24,18,89,104,56,63,81,49,49,18,87,61,47,64,20,73,53,43,20,46,22,15,86,80,51,55,87,58,60,17,82,51,53,55,19,76,47,60,21,57,15,18,58,66,51,43,99,60,54,17,91,61,65,38,23,94,54,74,21,57,19,19,63,79,55,42,77
1500000US340155002043,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1500000US340155020026,1,11,10,1,24,15,10,9,17,13,1,10,18,24,11,11,30,1,12,1,0,14,9,1,17,14,9,11,26,7,1,16,26,22,22,10,20,1,15,0,2,14,9,1,22,14,8,7,21,10,1,11,19,27,17,11,26,1,17,1,0,13,9,1,19,15,14,14,21,10,1,15,22,20,15,11,22,1,10,1,1,16
1500000US340155020026,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
